"""Date""",Symbol,Expiry Date,Open,High,Low,Close,Previous Close,Volume,Volume(In 000's),Value,Open Interest,ATR
8/19/2006,NATURALGAS   ,20-Sep-06,331.9,335.6,328.1,332.1,335.8,3256,1628.000 mmBtu,5407.56,7359,
8/21/2006,NATURALGAS   ,20-Sep-06,330,330,312.6,315.3,332.1,19974,9987.000 mmBtu,32025.41,9643,
8/22/2006,NATURALGAS   ,20-Sep-06,315.8,334.2,314,331,315.3,20946,10473.000 mmBtu,33923.73,8098,
8/23/2006,NATURALGAS   ,20-Sep-06,329.9,344,325.1,328.6,331,23423,11711.500 mmBtu,39424.78,7350,
8/24/2006,NATURALGAS   ,20-Sep-06,332,342.5,332,336.1,328.6,17577,8788.500 mmBtu,29712.6,6663,
8/25/2006,NATURALGAS   ,20-Sep-06,339.5,359,339.5,349.4,336.1,21097,10548.500 mmBtu,37078.19,5569,
8/26/2006,NATURALGAS   ,20-Sep-06,347.2,348.7,343.5,347.5,349.4,1005,502.500 mmBtu,1739.89,5656,
8/28/2006,NATURALGAS   ,20-Sep-06,346,346,316.2,318.4,347.5,22164,11082.000 mmBtu,35506.39,11044,
8/29/2006,NATURALGAS   ,20-Sep-06,317,321.9,307,318.9,318.4,17578,8789.000 mmBtu,27619.74,11273,
8/30/2006,NATURALGAS   ,20-Sep-06,317,319.4,300,305.1,318.9,24244,12122.000 mmBtu,37724.76,15489,
8/31/2006,NATURALGAS   ,20-Sep-06,301,303.6,286.8,288.3,305.1,25680,12840.000 mmBtu,37835.1,20066,
9/1/2006,NATURALGAS   ,20-Sep-06,286.8,286.8,275.3,282,288.3,19491,9745.500 mmBtu,27402.78,20774,
9/2/2006,NATURALGAS   ,20-Sep-06,281,285,281,283.8,282,684,342.000 mmBtu,967.98,20801,
9/4/2006,NATURALGAS   ,20-Sep-06,282.1,288.8,275.5,277.4,283.8,7773,3886.500 mmBtu,10944.42,21462,
9/5/2006,NATURALGAS   ,20-Sep-06,277,286,273,284.4,277.4,21954,10977.000 mmBtu,30729.63,20062,
9/6/2006,NATURALGAS   ,20-Sep-06,281.8,287,277.1,282.4,284.4,14682,7341.000 mmBtu,20762.02,19792,
9/7/2006,NATURALGAS   ,20-Sep-06,281.1,281.1,266.4,269.9,282.4,16305,8152.500 mmBtu,22322.82,19698,
9/8/2006,NATURALGAS   ,20-Sep-06,270,270,263.5,265.5,269.9,11574,5787.000 mmBtu,15426.48,18165,
9/9/2006,NATURALGAS   ,20-Sep-06,265.1,265.5,256.5,259.4,265.5,1283,641.500 mmBtu,1674.16,17867,
9/11/2006,NATURALGAS   ,20-Sep-06,256,264,246.6,262,259.4,18516,9258.000 mmBtu,23585.03,13203,
9/12/2006,NATURALGAS   ,20-Sep-06,264.9,272.1,259.5,261.9,262,13437,6718.500 mmBtu,17896.8,12494,14.995
9/13/2006,NATURALGAS   ,20-Sep-06,258.9,261.7,252.5,256.4,261.9,10114,5057.000 mmBtu,12969.09,12131,14.71525
9/14/2006,NATURALGAS   ,20-Sep-06,254,254,223.6,225.9,256.4,10291,5145.500 mmBtu,12330.07,11264,15.6194875
9/15/2006,NATURALGAS   ,20-Sep-06,228.5,234.5,213.6,227.3,225.9,15460,7730.000 mmBtu,17405.79,7577,15.88351312
9/16/2006,NATURALGAS   ,20-Sep-06,228.6,229,222.9,224.7,227.3,286,143.000 mmBtu,322.52,7491,15.39433747
9/18/2006,NATURALGAS   ,20-Sep-06,229.4,238.2,223.6,232.7,224.7,4227,2113.500 mmBtu,4903.65,6468,15.3546206
9/19/2006,NATURALGAS   ,20-Sep-06,234,236.5,223.4,228.4,232.7,3218,1609.000 mmBtu,3718.63,4870,15.24188957
