Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,9-Mar-15,293.8,292,294,288.7,290.35,290.65,291.21,13199803,38439.54,134400,4658626,35.29
SBIN,EQ,10-Mar-15,290.65,290.75,293.25,285.1,288.5,287.6,289.73,14064427,40749.21,143101,4503648,32.02
SBIN,EQ,11-Mar-15,287.6,288.55,290.9,283.75,285.45,285.15,286.56,16329314,46792.61,153093,6858711,42
SBIN,EQ,12-Mar-15,285.15,288.15,289.45,286.1,286.7,286.85,287.42,9969794,28655.1,125972,4144298,41.57
SBIN,EQ,13-Mar-15,286.85,290,291.05,280,281,280.75,284.64,13414248,38182.18,164812,5129356,38.24
SBIN,EQ,16-Mar-15,280.75,281.5,283.85,280,282.1,281.65,281.97,15132928,42670.01,124888,7323185,48.39
SBIN,EQ,17-Mar-15,281.65,283.9,284,279.5,283.5,283.1,282.06,11350496,32015.32,100856,4372430,38.52
SBIN,EQ,18-Mar-15,283.1,284.1,288.45,282,286.7,287.3,286.11,12394230,35461.17,131491,4841577,39.06
SBIN,EQ,19-Mar-15,287.3,290,290.3,280.6,281.2,281.6,285.73,11046649,31563.26,98953,4170136,37.75
SBIN,EQ,20-Mar-15,281.6,281.8,282.4,276.8,277.85,278.25,279.75,11482652,32122.79,168613,5099942,44.41
SBIN,EQ,23-Mar-15,278.25,279.4,280,273.55,274.6,274.75,276.74,13058026,36136.3,157505,5928243,45.4
SBIN,EQ,24-Mar-15,274.75,273.8,276.4,269,271.2,270.55,271.93,17585259,47819.98,169767,7495355,42.62
SBIN,EQ,25-Mar-15,270.55,271.9,272.1,265,265.3,265.4,267.77,15824629,42373.9,134616,7891591,49.87
SBIN,EQ,26-Mar-15,265.4,264.5,265.9,255.2,258.15,256.65,260.55,22253318,57981.3,177427,10671645,47.96
SBIN,EQ,27-Mar-15,256.65,259.85,264.95,256,264.2,263.6,260.53,19423101,50603.82,156218,6714633,34.57
SBIN,EQ,30-Mar-15,263.6,265.1,269.35,263.15,269,267.9,266.37,12303870,32774.43,123307,5862438,47.65
SBIN,EQ,31-Mar-15,267.9,268.9,271.35,266,266.2,267.05,268.59,19482636,52328.41,151165,10037535,51.52
SBIN,EQ,1-Apr-15,267.05,266.65,274.65,263.15,274.1,273.45,269.74,12383589,33402.95,118370,4991985,40.31
SBIN,EQ,6-Apr-15,273.45,275.45,275.75,271.2,274.1,274.65,273.69,12925445,35375.74,109410,6602178,51.08
